Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,PinSocket_2x01_P1.27mm_Vertical,92.455,-47.05,180,top
C1,4.7uF,C_0402_1005Metric,94.3,-75.85,-90,top
C2,100nF,C_0201_0603Metric,88.55,-67.5,90,top
C3,14pF,C_0201_0603Metric,99.3,-76.9,90,top
C4,14pF,C_0201_0603Metric,104.2,-76.92,-90,top
C5,100nF,C_0201_0603Metric,106.8,-72.35,-90,top
C6,100nF,C_0201_0603Metric,102.4,-66.45,180,top
C7,100nF,C_0201_0603Metric,97.43,-70.75,180,top
C8,4.7uF,C_0402_1005Metric,96.9,-69.3,180,top
C9,4.7uF,C_0402_1005Metric,107.2,-69.175,-90,top
C10,100nF,C_0201_0603Metric,106.8,-67.55,-90,top
C11,4.7uF,C_0402_1005Metric,105.48,-76.55,0,top
C12,100nF,C_0201_0603Metric,104.55,-75.65,0,top
C13,4.7uF,C_0402_1005Metric,91.5,-49.17,-90,top
C14,4.7uF,C_0402_1005Metric,95.95,-47.53,90,top
C15,4.7uF,C_0402_1005Metric,98.2,-56.7,-90,top
C16,100nF,C_0201_0603Metric,97.25,-56.48,-90,top
C17,4.7uF,C_0402_1005Metric,95.05,-52.6,-90,top
C18,100nF,C_0201_0603Metric,98.2,-63.995,-90,top
C19,100nF,C_0201_0603Metric,99.83,-66.45,0,top
C20,100nF,C_0201_0603Metric,96.15,-67.95,-90,top
C21,100nF,C_0201_0603Metric,105.65,-51.05,0,top
C22,100nF,C_0201_0603Metric,104.35,-50.15,-90,top
C23,100nF,C_0201_0603Metric,112.3,-66.15,90,top
C24,100nF,C_0201_0603Metric,91.13,-45.5,0,top
C25,100nF,C_0201_0603Metric,114.75,-49.62,-90,top
C26,100nF,C_0201_0603Metric,114.75,-73.87,90,top
C27,100nF,C_0201_0603Metric,95.2,-54.25,-90,top
D1,Green,LED_0201_0603Metric,87.1,-57.655,-90,top
D2,40V 1A,D_SOD-123,90.95,-60.05,-135,top
D3,Red,LED_0201_0603Metric,87.15,-65.345,90,top
D4,Green,LED_0201_0603Metric,87.15,-67.52,90,top
D5,Red,LED_0201_0603Metric,99.700266,-52.909174,135,top
D6,Red,LED_0201_0603Metric,99.700266,-54.5329,135,top
D7,Red,LED_0201_0603Metric,99.700266,-56.1329,135,top
D8,Red,LED_0201_0603Metric,99.700266,-57.7329,135,top
D9,Red,LED_0201_0603Metric,99.700266,-59.3329,135,top
D10,Red,LED_0201_0603Metric,99.700266,-60.9329,135,top
D11,Red,LED_0201_0603Metric,99.700266,-62.5329,135,top
D12,Red,LED_0201_0603Metric,99.700266,-64.1329,135,top
D13,Red,LED_0201_0603Metric,101.350266,-52.909174,135,top
D14,Red,LED_0201_0603Metric,101.307409,-54.5329,135,top
D15,Red,LED_0201_0603Metric,101.307409,-56.1329,135,top
D16,Red,LED_0201_0603Metric,101.307409,-57.7329,135,top
D17,Red,LED_0201_0603Metric,101.307409,-59.3329,135,top
D18,Red,LED_0201_0603Metric,101.307409,-60.9329,135,top
D19,Red,LED_0201_0603Metric,101.307409,-62.5329,135,top
D20,Red,LED_0201_0603Metric,101.307409,-64.1329,135,top
D21,Red,LED_0201_0603Metric,102.950266,-52.909174,135,top
D22,Red,LED_0201_0603Metric,102.914552,-54.5329,135,top
D23,Red,LED_0201_0603Metric,102.914552,-56.1329,135,top
D24,Red,LED_0201_0603Metric,102.914552,-57.7329,135,top
D25,Red,LED_0201_0603Metric,102.914552,-59.3329,135,top
D26,Red,LED_0201_0603Metric,102.914552,-60.9329,135,top
D27,Red,LED_0201_0603Metric,102.914552,-62.5329,135,top
D28,Red,LED_0201_0603Metric,102.914552,-64.1329,135,top
D29,Red,LED_0201_0603Metric,104.550266,-52.909174,135,top
D30,Red,LED_0201_0603Metric,104.521695,-54.5329,135,top
D31,Red,LED_0201_0603Metric,104.521695,-56.1329,135,top
D32,Red,LED_0201_0603Metric,104.521695,-57.7329,135,top
D33,Red,LED_0201_0603Metric,104.521695,-59.3329,135,top
D34,Red,LED_0201_0603Metric,104.521695,-60.9329,135,top
D35,Red,LED_0201_0603Metric,104.521695,-62.5329,135,top
D36,Red,LED_0201_0603Metric,104.521695,-64.1329,135,top
D37,Red,LED_0201_0603Metric,106.150266,-52.909174,135,top
D38,Red,LED_0201_0603Metric,106.128837,-54.5329,135,top
D39,Red,LED_0201_0603Metric,106.128837,-56.1329,135,top
D40,Red,LED_0201_0603Metric,106.128837,-57.7329,135,top
D41,Red,LED_0201_0603Metric,106.128837,-59.3329,135,top
D42,Red,LED_0201_0603Metric,106.128837,-60.9329,135,top
D43,Red,LED_0201_0603Metric,106.128837,-62.5329,135,top
D44,Red,LED_0201_0603Metric,106.128837,-64.1329,135,top
D45,Red,LED_0201_0603Metric,107.750266,-52.909174,135,top
D46,Red,LED_0201_0603Metric,107.73598,-54.5329,135,top
D47,Red,LED_0201_0603Metric,107.73598,-56.1329,135,top
D48,Red,LED_0201_0603Metric,107.73598,-57.7329,135,top
D49,Red,LED_0201_0603Metric,107.73598,-59.3329,135,top
D50,Red,LED_0201_0603Metric,107.73598,-60.9329,135,top
D51,Red,LED_0201_0603Metric,107.73598,-62.5329,135,top
D52,Red,LED_0201_0603Metric,107.73598,-64.1329,135,top
D53,Red,LED_0201_0603Metric,109.350266,-52.909174,135,top
D54,Red,LED_0201_0603Metric,109.343123,-54.5329,135,top
D55,Red,LED_0201_0603Metric,109.343123,-56.1329,135,top
D56,Red,LED_0201_0603Metric,109.343123,-57.7329,135,top
D57,Red,LED_0201_0603Metric,109.343123,-59.3329,135,top
D58,Red,LED_0201_0603Metric,109.343123,-60.9329,135,top
D59,Red,LED_0201_0603Metric,109.343123,-62.5329,135,top
D60,Red,LED_0201_0603Metric,109.343123,-64.1329,135,top
D61,Red,LED_0201_0603Metric,110.950266,-52.909174,135,top
D62,Red,LED_0201_0603Metric,110.950266,-54.5329,135,top
D63,Red,LED_0201_0603Metric,110.950266,-56.1329,135,top
D64,Red,LED_0201_0603Metric,110.950266,-57.7329,135,top
D65,Red,LED_0201_0603Metric,110.950266,-59.3329,135,top
D66,Red,LED_0201_0603Metric,110.950266,-60.9329,135,top
D67,Red,LED_0201_0603Metric,110.950266,-62.5329,135,top
D68,Red,LED_0201_0603Metric,110.950266,-64.1329,135,top
D69,IR,LED-SMD_L3.0-W2.7-RD,114,-57.6,90,top
FB1,120R @ 100MHz,L_0805_2012Metric,105.8,-65.85,0,top
J2,USB_C_Socket,USB-C-SMD,90.5875,-73.47,-90,top
J4,Conn_02x03_Odd_Even,PinHeader_2x03_P1.27mm_Vertical,103.065,-48.298,180,top
L1,2.2uH,L_1008_2520Metric,96.2,-50.3,180,top
Q1,AO3415,SOT-23,92.7875,-53.95,90,top
R1,5.1k,R_0201_0603Metric,90.27,-68.1,0,top
R2,5.1k,R_0201_0603Metric,94.75,-71.22,-90,top
R3,1k,R_0201_0603Metric,87.8,-57.65,-90,top
R6,5.1k,R_0201_0603Metric,106.9,-75.57,90,top
R7,5.1k,R_0201_0603Metric,110.35,-51.08,-90,top
R8,5.1k,R_0201_0603Metric,112.42,-67.25,180,top
R9,100k,R_0201_0603Metric,89.55,-57.2,180,top
R10,10k,R_0201_0603Metric,98.85,-49.3,180,top
R11,1.5k,R_0201_0603Metric,87.85,-65.345,-90,top
R12,1.5k,R_0201_0603Metric,87.85,-67.53,-90,top
R13,10k,R_0201_0603Metric,96.85,-67.95,-90,top
R14,100k,R_0201_0603Metric,98.2,-62.595,90,top
R15,10k,R_0201_0603Metric,110.25,-45.75,-90,top
R16,100k,R_0201_0603Metric,105.65,-51.75,0,top
R17,330R,R_0201_0603Metric,112.7,-59.25,-90,top
SW1,SW_Push,SW_SPST_B3U-1000P,109,-74.85,-90,top
SW2,MSK12CO2,MSK12CO2,88.58,-53.075,-90,top
U1,USBLC6-2P6-MS,SOT-666,97,-74.65,90,top
U2,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,102.3,-70.95,0,top
U3,MCP73831,SOT-23-5,98.15,-46.9,-90,top
U4,AP63203WU-7,TSOT-23-6,97.25,-53.7,90,top
U5,IS31FL3729,QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,94.55,-63.95,-90,top
U6,CAP1188,QFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,107.3,-48.1,90,top
U7,IRM-V838M3-C/TR1,OPTO-SMD_IRM-V838M3-C-TR1,113.3,-63.45,90,top
X1,12MHz 12pF,Crystal_SMD_3225-4Pin_3.2x2.5mm,101.75,-76.875,0,top
